City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,meulaboh,4.1363,96.1285,299.64,82,97,0.68,ID,1691160295
215,lethbridge,49.7,-112.8186,290.21,77,40,1.03,CA,1691160295
216,goz beida,13.95,20.55,303.32,49,100,5.23,TD,1691160296
217,maragogi,-9.0122,-35.2225,299.51,56,5,4.17,BR,1691160297
218,petukhovo,55.0692,67.9019,296.32,60,92,1.53,RU,1691160297
219,port lincoln,-34.7333,135.8667,284.43,61,50,4.91,AU,1691160298
220,harper,4.375,-7.7169,299.31,76,77,4.32,LR,1691159814
221,concepcion del oro,24.6333,-101.4167,293.15,50,17,1.71,MX,1691160299
222,suixi,33.8907,116.7747,301.14,78,54,3.19,CN,1691160300
223,mishelevka,52.8575,103.1719,292.21,91,100,1.66,RU,1691160300
224,mlowo,-9.0,32.9833,293.81,46,77,4.46,TZ,1691160301
225,klaksvik,62.2266,-6.589,285.66,81,100,4.72,FO,1691159894
226,zeya,53.75,127.2667,287.61,59,0,2.28,RU,1691160304
227,nova sintra,14.8667,-24.7167,297.21,83,54,3.71,CV,1691159977
228,fort bragg,35.139,-79.006,298.26,94,100,2.57,US,1691160305
229,buzdyak,54.5833,54.55,297.2,63,18,2.33,RU,1691160305
230,ribeira brava,32.65,-17.0667,300.77,68,17,2.0,PT,1691159866
231,rio preto da eva,-2.6994,-59.6997,308.32,39,7,1.55,BR,1691160077
232,gadzhiyevo,69.2551,33.3362,296.08,60,99,9.62,RU,1691159821
233,liuhe,42.2401,125.7172,296.04,98,100,2.17,CN,1691160309
234,vetluzhskiy,58.3902,45.4654,297.08,67,89,2.22,RU,1691160310
235,lebu,-37.6167,-73.65,282.94,56,6,6.33,CL,1691160311
236,pana,39.3889,-89.0801,300.7,76,44,2.68,US,1691160312
237,kailua-kona,19.6406,-155.9956,297.13,77,0,5.66,US,1691159890
238,derhachi,50.1066,36.1211,304.11,33,0,2.38,UA,1691160313
239,east london,-33.0153,27.9116,299.67,36,0,2.06,ZA,1691160314
240,osorno,-40.5667,-73.15,275.32,100,100,1.03,CL,1691160112
241,koh kong,11.6175,102.9806,299.65,86,100,2.29,KH,1691160315
242,waiuku,-37.25,174.75,287.18,84,97,4.13,NZ,1691160316
243,i-n-salah,27.1935,2.4607,320.73,5,0,6.45,DZ,1691160316
244,rio grande,-32.035,-52.0986,290.21,76,99,2.72,BR,1691159544
245,brookhaven,31.5791,-90.4407,304.15,55,0,2.96,US,1691160318
246,eket,4.6412,7.9209,298.95,80,97,4.93,NG,1691160318
247,greymouth,-42.4667,171.2,279.23,91,92,2.65,NZ,1691160319
248,saint-pierre,-21.3393,55.4781,295.69,78,100,12.86,RE,1691160320
249,hasaki,35.7333,140.8333,302.21,84,3,6.34,JP,1691159748
250,fort st. john,56.2499,-120.8529,284.09,100,20,3.6,CA,1691159637
251,brisas de zicatela,15.8369,-97.0419,299.44,69,75,2.57,MX,1691160322
252,cestos city,5.46,-9.5828,299.49,82,72,4.47,LR,1691160022
253,weno,7.4515,151.8468,298.86,94,100,5.92,FM,1691159947
254,la passe,45.5549,-0.8967,294.28,53,44,8.03,FR,1691159846
255,namibe,-15.1961,12.1522,294.33,67,8,5.4,AO,1691159972
256,anadyr,64.75,177.4833,283.43,93,75,6.0,RU,1691160326
257,makubetsu,45.3714,141.8211,289.16,92,97,4.02,JP,1691160328
258,ihsaniye,40.6909,29.8347,307.83,34,0,6.74,TR,1691160328
259,paragould,36.0584,-90.4973,296.11,70,95,1.84,US,1691160330
260,zouerate,22.7187,-12.4521,315.21,9,4,9.22,MR,1691159965
261,lompoc,34.6391,-120.4579,287.33,96,100,6.17,US,1691159914
262,sungai penuh,-2.0833,101.3833,292.16,98,92,1.48,ID,1691160331
263,al jawf,29.5,38.75,310.84,11,0,4.49,SA,1691160333
